Typkund;apr 2013;maj 2013;jun 2013;jul 2013;aug 2013;sep 2013;okt 2013;nov 2013;dec 2013;jan 2014;feb 2014;mar 2014;apr 2014;maj 2014;jun 2014;jul 2014;aug 2014;sep 2014;okt 2014;nov 2014;dec 2014;jan 2015;feb 2015;mar 2015;apr 2015;maj 2015;jun 2015;jul 2015;aug 2015;sep 2015;okt 2015;nov 2015;dec 2015;jan 2016;feb 2016;mar 2016;apr 2016;maj 2016;jun 2016;jul 2016;aug 2016;sep 2016;okt 2016;nov 2016;dec 2016;jan 2017;feb 2017;mar 2017;apr 2017;maj 2017;jun 2017;jul 2017;aug 2017;sep 2017;okt 2017;nov 2017;dec 2017;jan 2018;feb 2018;mar 2018;apr 2018;maj 2018;juni 2018;juli 2018;aug 2018;sep 2018;okt 2018;nov 2018;dec 2018;jan 2019;feb 2019;mar 2019;apr 2019;maj 2019;juni 2019;juli 2019;aug 2019;sep 2019;Okt 2019;Nov 2019;Dec 2019;Jan 2020;Feb 2020;mar 2020;apr 2020;maj 2020;jun 2020;jul 2020;aug 2020;sep 2020;Okt 2020;Nov 2020;Dec 2020;Jan 2021;feb 2021;mars 2021;april 2021;maj 2021;jun 2021;Jul 2021;Aug 2021;Sep 2021;Okt 2021;Nov 2021
Lägenhet - Elområde 1;54,4;54,2;52,7;53,2;53,0;53,8;55,2;54,7;53,1;52,3;51,7;51,5;50,2;50,9;50,4;52,0;50,9;52,8;52,4;52,4;52,9;51,7;50,7;49,8;49,3;48,8;48,4;48,4;48,2;46,9;46,1;45,5;43,8;43,9;42,0;41,4;41,2;42,8;44,7;45,0;45,0;44,9;48,2;51,6;47,3;46,9;46,0;46,2;46,0;45,8;46,2;46,6;46,6;48,5;48,6;50,4;50,2;50,0;50,2;51,3;53,9;57,5;59,2;61,6;61,4;66,9;64,5;63,0;65,2;66,2;64,1;63,3;63,2;63,1;60,5;61,0;61,2;59,9;60,3;60,9;60,2;57,9;52,8;52,7;49,3;49,3;50,5;50,4;48,8;50,8;50,8;52,8;54,7;53,4;52,0;55,1;55,4;56,7;56,9;59,9;64,2;69,5;66,3;61,3
Villa utan elvärme;47,6;47,3;46,1;46,3;46,0;46,7;48,1;47,6;46,3;45,4;44,8;44,6;43,2;43,7;43,8;45,0;44,3;46,0;45,5;45,2;45,7;44,6;43,7;42,7;42,2;41,8;41,4;41,3;41,1;39,8;38,8;38,4;36,5;36,5;34,7;34,1;34,0;35,5;37,4;37,7;37,7;37,6;41,0;44,5;40,0;39,6;38,5;38,6;38,4;38,2;38,6;39,2;39,1;40,9;41,0;42,9;42,5;42,3;42,4;43,6;46,1;49,9;51,5;54,0;53,7;59,0;56,6;55,2;57,2;58,3;56,2;55,4;55,4;55,3;52,6;53,1;53,3;52,1;52,4;52,8;52,1;49,7;44,6;44,5;41,2;41,2;42,4;42,2;40,5;42,6;42,7;44,6;46,5;44,9;43,4;46,2;46,6;47,9;47,8;50,9;55,0;60,5;57,1;52,4
Villa med elvärme;44,2;43,7;42,7;42,7;42,5;43,2;44,6;44,1;42,8;41,9;41,3;41,2;39,6;40,1;40,5;41,5;40,9;42,6;42,0;41,6;42,1;41,1;40,2;39,2;38,7;38,3;37,8;37,8;37,5;36,2;35,2;34,8;32,8;32,8;31,0;30,5;30,3;31,9;33,8;34,1;34,0;33,9;37,3;40,9;36,3;35,9;34,8;34,8;34,6;34,4;34,8;35,5;35,4;37,1;37,3;39,2;38,6;38,4;38,5;39,7;42,3;46,1;47,7;50,2;49,9;55,1;52,6;51,3;53,3;54,3;52,2;51,4;51,5;51,4;48,7;49,2;49,4;48,2;48,4;48,8;48,1;45,6;40,6;40,5;37,1;37,2;38,4;38,2;36,4;38,5;38,6;40,5;42,3;40,4;39,0;41,7;42,1;43,4;43,3;46,4;50,6;56,0;52,7;48,0
Större hushåll;43,8;43,4;42,4;42,3;42,1;42,8;44,2;43,7;42,4;41,5;41,0;40,8;39,2;39,7;40,1;41,1;40,6;42,2;41,6;41,3;41,7;40,7;39,8;38,8;38,3;37,9;37,5;37,4;37,1;35,8;34,8;34,4;32,4;32,4;30,6;30,1;29,9;31,5;33,4;33,7;33,6;33,5;36,9;40,5;35,9;35,5;34,4;34,3;34,2;34,0;34,3;35,1;34,9;36,7;36,8;38,8;38,2;38,0;38,1;39,3;41,8;45,6;47,3;49,7;49,5;54,7;52,2;50,8;52,8;53,9;51,8;51,0;51,0;50,9;48,3;48,8;49,0;47,7;48,0;48,3;47,6;45,2;40,1;40,0;36,7;36,7;37,9;37,7;36,0;38,0;38,2;40,1;42,0;40,0;38,6;41,4;41,8;43,1;43,1;46,1;50,3;55,7;52,5;47,9
Näringsverksamhet(1);43,1;42,7;41,7;41,7;41,5;42,3;43,6;43,1;41,8;41,0;40,4;40,3;38,6;39,1;39,6;40,5;40,0;41,7;41,0;40,7;41,2;40,2;39,2;38,3;37,8;37,3;36,9;36,8;36,6;35,2;34,2;33,8;31,8;31,9;29,9;29,5;29,3;30,9;32,8;33,1;33,0;33,0;36,3;40,0;35,4;34,9;33,7;..;..;..;..;..;..;..;..;..;..;..;..;..;..;,,;,,;,,;,,;,,;,,;,,;,,;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Småindustri(1);42,9;42,6;41,5;41,5;41,3;42,1;43,5;43,0;41,7;40,9;40,3;40,2;38,6;39,0;39,5;40,4;39,9;41,6;40,9;40,6;41,1;40,1;39,2;38,2;37,7;37,3;36,9;36,7;36,4;35,2;34,1;33,6;31,7;31,7;29,8;29,3;29,2;30,8;32,5;32,9;32,8;32,8;36,1;39,9;35,4;34,9;33,6;..;..;..;..;..;..;..;..;..;..;..;..;..;..;,,;,,;,,;,,;,,;,,;,,;,,;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Lägenhet - Elområde  2;54,4;54,2;52,8;53,2;53,1;53,8;55,2;54,7;53,2;52,4;51,9;51,7;50,4;51,0;50,5;52,1;51,1;52,9;52,5;52,5;53,0;51,8;50,9;49,9;49,4;49,1;48,6;48,5;48,3;47,0;46,2;45,7;43,9;44,0;42,2;41,5;41,3;42,9;44,7;45,1;45,1;44,9;48,2;51,7;47,4;47,0;46,1;46,3;46,1;46,0;46,3;46,7;46,7;48,5;48,7;50,6;50,2;50,1;50,2;51,4;54,0;57,6;59,2;61,7;61,5;66,8;64,5;63,0;65,2;66,2;64,1;63,3;63,2;63,0;60,4;60,9;61,2;59,9;60,2;60,9;60,2;57,9;52,8;52,7;49,2;49,3;50,5;50,4;48,9;50,9;50,8;52,8;54,8;53,4;51,9;55,0;55,4;56,7;56,8;59,9;64,1;69,1;66,5;60,7
Villa utan elvärme;47,6;47,3;46,1;46,3;46,1;46,8;48,1;47,6;46,3;45,4;44,9;44,7;43,2;43,7;43,9;45,0;44,4;46,1;45,5;45,3;45,8;44,7;43,7;42,7;42,2;41,9;41,4;41,3;41,1;39,8;38,8;38,4;36,5;36,5;34,7;34,1;34,0;35,5;37,4;37,8;37,7;37,6;41,0;44,5;40,0;39,6;38,6;38,6;38,5;38,3;38,6;39,2;39,2;40,9;41,1;43,0;42,5;42,3;42,4;43,6;46,2;49,9;51,6;54,0;53,8;59,0;56,6;55,2;57,3;58,3;56,2;55,4;55,3;55,2;52,6;53,1;53,3;52,1;52,3;52,8;52,1;49,7;44,6;44,5;41,1;41,2;42,4;42,3;40,6;42,7;42,7;44,6;46,5;44,8;43,4;46,1;46,5;47,8;47,7;50,8;54,9;60,0;57,3;51,8
Villa med elvärme;44,2;43,8;42,8;42,7;42,5;43,2;44,6;44,1;42,9;42,0;41,4;41,3;39,7;40,1;40,6;41,5;41,0;42,6;42,0;41,6;42,1;41,1;40,2;39,2;38,7;38,3;37,9;37,8;37,5;36,2;35,2;34,8;32,8;32,8;31,0;30,5;30,3;31,9;33,8;34,1;34,0;33,9;37,3;41,0;36,3;35,9;34,9;34,8;34,6;34,5;34,8;35,5;35,4;37,2;37,3;39,3;38,7;38,5;38,6;39,7;42,3;46,1;47,7;50,2;50,0;55,1;52,7;51,3;53,3;54,3;52,2;51,4;51,4;51,3;48,7;49,2;49,4;48,2;48,4;48,8;48,1;45,6;40,5;40,4;37,0;37,2;38,3;38,2;36,4;38,5;38,6;40,5;42,3;40,4;39,0;41,6;42,0;43,3;43,2;46,3;50,4;55,6;52,9;47,4
Större hushåll;43,8;43,4;42,4;42,3;42,1;42,8;44,2;43,7;42,5;41,6;41,0;40,9;39,3;39,7;40,2;41,1;40,6;42,2;41,6;41,2;41,7;40,7;39,8;38,8;38,3;37,9;37,5;37,4;37,1;35,8;34,8;34,4;32,4;32,4;30,6;30,1;29,9;31,5;33,4;33,7;33,6;33,5;36,9;40,6;35,9;35,5;34,4;34,4;34,2;34,0;34,4;35,1;35,0;36,7;36,9;38,8;38,2;38,0;38,1;39,3;41,9;45,7;47,3;49,8;49,5;54,6;52,3;50,8;52,9;53,9;51,8;51,0;51,0;50,8;48,2;48,7;49,0;47,7;47,9;48,3;47,6;45,2;40,1;40,0;36,6;36,7;37,9;37,8;36,0;38,1;38,2;40,1;42,0;39,9;38,5;41,3;41,7;43,1;43,0;46,0;50,2;55,2;52,6;47,3
