Typkund;apr 2013;maj 2013;jun 2013;jul 2013;aug 2013;sep 2013;okt 2013;nov 2013;dec 2013;jan 2014;feb 2014;mar 2014;apr 2014;maj 2014;jun 2014;jul 2014;aug 2014;sep 2014;okt 2014;nov 2014;dec 2014;jan 2015;feb 2015;mar 2015;apr 2015;maj 2015;jun 2015;jul 2015;aug 2015;sep 2015;okt 2015;nov 2015;dec 2015;jan 2016;feb 2016;mar 2016;apr 2016;maj 2016;jun 2016;jul 2016;aug 2016;sep 2016;okt 2016;nov 2016;dec 2016;jan 2017;feb 2017;mar 2017;apr 2017;maj 2017;jun 2017;jul 2017;aug 2017;sep 2017;okt 2017;nov 2017;dec 2017;jan 2018;feb 2018;mar 2018;apr 2018;maj 2018;juni 2018;juli 2018;aug 2018;sep 2018;okt 2018;nov 2018;dec 2018;jan 2019;feb 2019;mar 2019;apr 2019;maj 2019;juni 2019;juli 2019;aug 2019;sep 2019;Okt 2019;Nov 2019;Dec 2019;Jan 2020;Feb 2020;mar 2020;apr 2020;maj 2020;jun 2020;jul 2020;aug 2020;sep 2020;Okt 2020;Nov 2020;Dec 2020;Jan 2021;feb 2021;mars 2021;april 2021;maj 2021;jun 2021;Jul 2021;Aug 2021;Sep 2021;Okt 2021;Nov 2021
Lägenhet - Elområde 1;80,9;80,7;80,0;80,0;78,9;79,4;80,0;79,3;78,6;77,3;74,3;73,1;69,5;69,4;72,0;68,9;70,6;70,5;72,7;69,6;71,0;68,8;68,0;65,4;67,5;67,6;63,7;59,2;60,1;66,7;61,6;66,5;64,0;62,3;69,5;67,5;65,8;64,9;61,8;64,2;60,7;58,9;64,4;70,0;69,8;69,0;68,8;68,7;66,5;68,0;68,3;69,2;69,5;73,7;73,5;72,2;75,9;75,8;74,0;75,0;79,4;77,2;78,8;80,8;83,6;80,8;88,0;86,6;91,2;97,0;99,4;94,6;92,1;91,8;92,0;85,7;90,1;91,4;90,4;91,3;93,4;90,2;84,5;80,5;76,6;60,8;65,0;59,8;53,9;71,6;67,2;66,2;65,1;61,8;71,6;74,7;73,3;69,0;80,0;78,7;88,5;92,5;93,8;78,4
Villa utan elvärme;73,1;72,9;72,1;72,1;71,1;71,7;72,0;71,3;70,7;69,3;67,1;65,8;61,0;60,9;65,0;61,9;63,6;63,5;64,9;62,0;63,3;61,5;60,7;57,7;59,7;59,7;55,9;50,9;51,7;58,1;53,3;57,3;55,1;53,3;60,2;59,4;57,5;56,3;53,3;55,7;51,9;50,3;55,5;61,2;61,1;60,2;60,0;60,0;57,7;59,2;59,6;60,4;60,8;63,1;63,0;61,6;64,8;64,7;63,4;64,1;67,8;66,3;66,9;69,7;72,5;70,8;77,0;75,7;79,7;85,1;87,6;83,1;80,5;80,3;79,1;73,4;77,8;79,1;78,1;79,0;81,1;77,9;72,2;68,2;64,3;50,5;53,6;48,2;43,7;59,7;55,6;54,2;52,9;49,8;59,7;63,5;63,2;58,5;69,5;68,2;78,0;81,8;81,3;66,0
Villa med elvärme;69,2;68,9;68,1;68,2;67,2;67,8;68,1;67,4;66,7;65,3;63,5;62,1;56,8;56,7;61,4;58,2;60,0;59,8;60,8;58,0;59,3;57,7;56,8;53,7;55,6;55,6;51,8;46,5;47,4;53,6;48,9;52,4;50,4;48,6;55,4;55,2;53,2;51,8;48,8;51,2;47,2;45,8;50,9;56,7;56,5;55,7;55,5;55,4;53,2;54,7;55,0;55,8;56,2;57,7;57,6;56,2;59,0;59,0;58,0;58,5;61,7;60,7;60,8;64,0;66,8;65,5;71,6;70,2;73,9;79,1;81,7;77,3;74,8;74,5;72,7;67,3;71,6;72,9;71,9;72,8;74,9;71,8;66,0;62,1;58,2;45,3;47,9;42,4;38,7;53,8;49,7;48,2;46,7;43,7;53,8;58,0;58,2;53,3;64,3;63,0;72,8;76,4;75,1;59,8
Större hushåll;68,7;68,5;67,7;67,8;66,8;67,4;67,6;66,9;66,3;64,9;63,1;61,7;56,3;56,2;61,0;57,9;59,6;59,5;60,4;57,6;58,9;57,4;56,5;53,4;55,2;55,2;51,4;46,1;47,0;53,2;48,5;51,9;49,9;48,2;54,9;54,8;52,7;51,4;48,4;50,8;46,8;45,4;50,4;56,2;56,0;55,2;55,0;55,0;52,7;54,2;54,6;55,4;55,7;57,1;57,0;55,6;58,4;58,4;57,4;57,9;61,1;60,1;60,2;63,4;66,2;65,0;70,9;69,6;73,3;78,5;81,0;76,7;74,1;73,9;71,9;66,6;70,9;72,3;71,3;72,1;74,2;71,1;65,4;61,4;57,5;44,8;47,3;41,7;38,1;53,1;49,1;47,6;46,0;43,1;53,1;57,4;57,7;52,7;63,7;62,4;72,2;75,8;74,4;59,1
Näringsverksamhet;68,0;67,8;67,0;67,0;66,1;66,8;67,2;66,5;65,8;64,5;62,5;61,1;55,6;55,5;60,4;57,3;59,0;58,9;59,7;57,0;58,2;56,7;55,9;52,7;54,5;54,5;50,7;45,4;46,2;52,4;47,8;51,1;49,2;47,4;54,1;54,1;52,0;50,6;47,6;50,0;46,0;44,6;49,7;55,5;55,3;54,5;54,3;,,;,,;,,;,,;,,;,,;,,;,,;,,;,,;,,;,,;,,;,,;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Småindustri;67,4;67,2;66,3;66,4;65,4;66,2;66,9;66,3;65,6;64,2;62,3;60,9;55,4;55,3;60,3;57,3;60,5;58,7;59,5;56,8;58,0;56,6;55,7;52,5;54,3;54,3;50,5;45,1;46,0;52,2;47,6;50,9;48,9;47,2;53,9;53,8;51,8;50,4;47,3;49,7;45,8;44,4;49,4;55,2;55,0;54,2;54,0;,,;,,;,,;,,;,,;,,;,,;,,;,,;,,;,,;,,;,,;,,;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Lägenhet - Elområde 2;80,9;80,9;80,0;80,0;79,2;79,4;80,0;79,5;78,6;77,3;74,4;73,5;70,6;70,2;70,9;69,2;69,9;70,9;73,9;73,3;73,3;73,9;72,6;70,7;68,9;68,3;67,4;64,9;62,3;62,4;62,4;63,5;63,9;63,0;67,7;65,7;64,9;63,6;64,9;67,4;65,0;65,5;67,6;69,0;73,2;70,8;72,0;72,1;71,4;71,6;71,3;71,2;71,0;73,9;74,2;75,3;74,0;73,7;74,9;75,4;77,5;76,9;78,3;81,9;84,4;83,5;88,7;87,2;89,4;93,8;94,6;92,7;91,3;93,8;93,1;92,0;94,5;95,3;94,5;95,2;96,5;94,6;95,4;89,0;86,3;70,2;76,0;68,9;67,6;78,2;74,8;71,8;68,9;63,0;75,0;70,0;73,6;65,4;78,1;76,0;86,1;89,6;91,4;72,0
Villa utan elvärme;73,1;73,0;72,1;72,1;71,4;71,7;72,0;71,5;70,7;69,4;66,3;65,3;60,9;60,5;63,5;61,1;62,1;62,9;64,7;63,9;63,9;64,7;63,2;60,9;59,1;58,4;57,5;55,1;52,6;53,1;52,7;53,5;53,9;52,8;57,5;55,8;54,4;54,0;54,5;57,0;54,6;55,3;57,5;58,9;62,9;60,4;61,3;61,4;60,8;61,5;60,7;60,6;60,9;62,8;63,6;64,7;63,4;63,1;64,3;64,6;66,7;66,1;67,3;70,5;73,0;72,9;77,3;75,9;78,0;82,3;83,1;81,2;79,4;81,8;80,0;79,9;82,4;83,2;82,3;83,1;84,4;82,5;83,0;76,9;74,2;59,8;64,5;57,4;57,2;66,4;62,7;59,8;57,0;51,3;63,6;58,8;63,1;54,2;67,1;65,0;75,2;78,5;79,2;60,0
Villa med elvärme;69,2;69,1;68,1;68,2;67,5;67,8;68,1;67,5;66,8;65,4;62,3;61,3;56,1;55,7;59,7;57,0;58,1;58,8;60,0;59,2;59,1;60,0;58,5;56,0;54,1;53,4;52,5;50,0;47,6;48,4;47,8;48,4;48,8;47,7;52,3;50,7;49,1;49,0;49,1;51,7;49,3;50,1;52,4;53,8;57,6;55,2;55,9;56,0;55,3;56,3;55,2;55,2;55,8;57,1;58,3;59,3;58,0;57,8;58,9;59,1;61,2;60,6;61,7;64,6;67,2;67,5;71,6;70,2;72,3;76,5;77,3;75,4;73,5;75,8;73,5;73,8;76,3;77,1;76,3;77,0;78,3;76,4;76,8;70,8;68,1;54,6;58,8;51,6;52,0;60,6;56,6;53,8;51,1;45,4;57,9;53,2;57,9;48,5;61,7;59,5;69,7;73,0;73,1;54,0
Större hushåll;68,7;68,7;67,7;67,8;67,1;67,4;67,6;67,1;66,3;64,9;61,8;60,8;55,6;55,1;59,3;56,5;57,7;58,4;59,5;58,7;58,6;59,5;58,0;55,5;53,5;52,8;51,9;49,5;47,1;47,9;47,2;47,8;48,3;47,1;51,7;50,2;48,5;48,5;48,5;51,1;48,8;49,5;51,8;53,3;57,1;54,6;55,3;55,4;54,8;55,8;54,7;54,6;55,3;56,5;57,7;58,8;57,4;57,2;58,3;58,5;60,6;60,0;61,1;64,0;66,6;66,9;71,0;69,6;71,7;75,9;76,7;74,8;72,9;75,2;72,8;73,1;75,7;76,4;75,6;76,4;77,6;75,8;76,1;70,2;67,4;54,0;58,1;51,0;51,5;59,9;55,9;53,2;50,4;44,8;57,2;52,6;57,3;47,9;61,0;58,9;69,1;72,3;72,4;53,3
