Typkund;apr 2013;maj 2013;jun 2013;jul 2013;aug 2013;sep 2013;okt 2013;nov 2013;dec 2013;jan 2014;feb 2014;mar 2014;apr 2014;maj 2014;jun 2014;jul 2014;aug 2014;sep 2014;okt 2014;nov 2014;dec 2014;jan 2015;feb 2015;mar 2015;apr 2015;maj 2015;jun 2015;jul 2015;aug 2015;sep 2015;okt 2015;nov 2015;dec 2015;jan 2016;feb 2016;mar 2016;apr 2016;maj 2016;jun 2016;jul 2016;aug 2016;sep 2016;okt 2016;nov 2016;dec 2016;jan 2017;feb 2017;mar 2017;apr 2017;maj 2017;jun 2017;jul 2017;aug 2017;sep 2017;okt 2017;nov 2017;dec 2017;jan 2018;feb 2018;mar 2018;apr 2018;maj 2018;juni 2018;juli 2018;aug 2018;sep 2018;okt 2018;nov 2018;dec 2018;jan 2019;feb 2019;mar 2019;apr 2019;maj 2019;juni 2019;juli 2019;aug 2019;sep 2019;Okt 2019;Nov 2019;Dec 2019;Jan 2020;Feb 2020;mar 2020;apr 2020;maj 2020;jun 2020;jul 2020;aug 2020;sep 2020;Okt 2020;Nov 2020;Dec 2020;Jan 2021;feb 2021;mars 2021;april 2021;maj 2021;jun 2021;Jul 2021;Aug 2021;Sep 2021;Okt 2021;Nov 2021
Lägenhet - Elområde 1;56,5;50,0;48,4;48,3;54,3;57,5;55,7;51,3;48,7;48,7;48,7;43,4;43,7;48,8;47,9;47,1;49,9;52,3;47,5;47,1;48,4;46,9;46,5;42,2;42,3;39,9;33,1;27,2;33,6;38,8;41,2;42,7;38,0;49,8;39,7;40,4;40,8;42,4;52,3;48,2;49,9;49,0;55,9;60,9;53,1;50,5;51,5;49,1;47,4;48,8;46,7;49,4;52,2;54,0;48,8;52,0;50,0;52,7;61,1;65,1;62,9;57,3;68,5;77,4;81,6;76,5;71,8;75,5;77,5;81,4;73,4;66,3;65,1;60,3;49,5;59,4;62,7;59,5;62,5;67,2;60,9;47,2;39,8;34,3;25,5;31,8;31,7;28,7;40,9;41,0;37,7;34,4;33,1;..;67,1;48,5;49,8;63,5;57,8;76,1;81,7;82,6;49,8;84,3
Villa utan elvärme;48,8;42,7;41,1;40,8;46,6;50,1;48,1;44,1;40,9;41,0;41,0;35,7;36,0;41,1;40,5;39,4;42,7;45,1;40,4;39,8;41,1;39,8;39,0;35,2;35,0;32,5;25,6;19,8;26,0;31,1;33,4;35,0;30,1;42,0;31,3;32,6;32,9;34,4;44,1;40,1;41,7;40,7;48,0;53,3;45,3;42,7;43,2;40,9;39,3;40,4;38,2;41,1;44,0;45,5;40,5;43,6;41,8;44,1;52,6;56,6;54,3;48,4;60,0;68,9;73,0;68,0;62,9;66,6;68,4;72,6;64,4;57,1;55,9;51,4;40,5;50,4;53,5;50,5;53,5;58,1;51,5;38,1;30,5;25,1;15,7;22,4;22,0;19,4;31,3;31,3;28,0;24,8;23,5;..;56,9;38,3;39,5;53,5;47,8;66,2;71,9;72,2;39,8;73,7
Villa med elvärme;44,9;38,9;37,2;36,9;42,8;46,5;44,2;40,4;37,0;37,0;37,0;31,8;32,1;37,2;36,7;35,4;39,1;41,3;36,7;36,0;37,4;36,2;35,0;31,4;31,1;28,5;21,7;15,9;22,2;27,2;29,4;31,0;26,1;38,0;27,2;28,6;28,9;30,4;39,8;36,0;37,5;36,6;44,0;49,5;41,3;38,8;39,0;36,9;35,2;36,2;34,0;36,8;39,6;41,3;36,2;39,4;37,5;39,9;48,3;52,1;50,0;44,1;55,8;64,7;68,7;63,7;58,3;62,1;63,9;68,1;59,8;52,5;51,4;47,0;36,0;45,9;49,0;45,9;49,0;53,5;46,8;33,4;25,8;20,5;10,9;17,8;17,2;14,8;26,5;26,5;23,3;20,1;18,7;..;51,0;33,1;34,1;47,8;42,6;60,6;66,7;66,7;34,4;67,7
Större hushåll;44,6;38,6;36,9;36,6;42,4;46,1;43,8;40,1;36,6;36,6;36,7;31,4;31,6;36,8;36,3;35,0;38,7;40,9;36,3;35,5;37,0;35,8;34,6;31,0;30,7;28,1;21,3;15,5;21,8;26,8;29,0;30,6;25,8;37,7;26,8;28,2;28,5;30,0;39,4;35,6;37,1;36,2;43,6;49,1;41,0;38,5;38,6;36,5;34,9;35,9;33,6;36,4;39,2;40,9;35,8;39,1;37,1;39,5;47,9;51,6;49,6;43,7;55,4;64,3;68,3;63,3;57,9;61,7;63,5;67,7;59,4;52,0;51,0;46,6;35,5;45,5;48,5;45,5;48,6;53,1;46,4;33,0;25,4;20,1;10,4;17,3;16,7;14,3;26,0;25,9;22,7;19,6;18,2;..;50,4;33,1;34,0;47,6;42,5;60,2;66,3;66,3;34,0;67,5
Näringsverksamhet(1);44,0;38,0;36,3;36,0;41,8;45,5;43,2;39,5;36,0;36,0;36,0;30,7;31,0;36,2;35,6;34,3;38,0;40,3;35,6;34,9;36,3;35,1;34,0;30,4;30,1;27,4;20,6;14,8;21,2;26,2;28,3;30,0;25,1;37,0;26,2;27,5;27,9;29,3;38,6;34,8;36,4;35,4;42,9;48,5;40,3;37,7;37,9;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;,,;..;..;..;..;..;..;..;..;..;..;..;;;;;;,,;,,;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Småindustri(1);43,9;37,8;36,2;35,9;41,6;45,4;43,1;39,4;35,9;35,9;36,0;30,6;30,9;36,2;35,6;34,2;37,9;40,2;35,5;34,8;36,2;35,0;33,9;30,4;30,0;27,3;20,5;14,7;21,2;26,1;28,3;29,9;24,9;37,0;26,1;27,3;27,7;29,1;38,4;34,6;36,2;35,2;42,7;48,3;39,9;37,5;37,8;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;,,;..;..;..;..;..;..;..;..;..;..;..;;;;;;,,;,,;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Lägenhet - Elområde  2;56,6;50,2;48,5;48,4;54,0;57,4;55,5;51,7;48,6;48,6;48,6;43,0;43,5;48,7;48,2;47,0;49,7;51,7;47,5;47,1;48,5;47,0;46,4;42,1;42,2;39,7;33,0;27,1;33,6;38,9;41,2;42,7;37,8;49,4;39,1;40,4;40,4;42,2;52,3;47,6;49,2;48,2;55,8;60,8;52,8;50,5;51,6;49,1;47,3;48,9;46,6;49,3;52,2;53,9;48,8;51,9;50,1;52,7;61,0;65,3;63,0;57,2;68,4;77,4;81,7;76,5;71,8;75,4;77,4;81,2;73,2;66,1;64,9;59,9;49,5;59,2;62,6;59,3;62,3;67,1;60,7;47,0;39,8;34,3;25,4;32,0;31,3;28,6;40,6;40,8;37,8;34,7;33,5;..;67,1;48,1;49,5;63,4;57,5;76,6;81,6;82,3;49,9;83,6
Villa utan elvärme;48,9;42,8;41,1;41,0;46,5;50,1;47,9;44,2;40,8;40,9;40,9;35,4;35,8;41,1;40,8;39,3;42,6;44,6;40,3;39,8;41,1;39,8;38,9;35,1;34,9;32,3;25,5;19,7;26,0;31,1;33,5;35,0;30,0;41,6;31,1;32,7;32,7;34,4;44,5;39,9;41,5;40,4;47,9;53,3;45,1;42,7;43,3;41,0;39,3;40,5;38,1;41,0;43,9;45,5;40,6;43,6;41,9;44,2;52,5;56,8;54,3;48,4;59,9;68,9;73,1;68,0;62,9;66,6;68,5;72,4;64,3;57,0;55,8;51,1;40,5;50,2;53,5;50,4;53,4;58,0;51,4;38,0;30,4;25,1;15,8;22,6;21,8;19,3;31,2;31,1;28,1;25,1;23,8;..;57,1;38,0;39,1;53,5;47,8;66,8;71,8;72,0;39,9;73,2
Villa med elvärme;45,0;39,0;37,2;37,1;42,8;46,5;44,1;40,4;36,9;36,9;36,9;31,5;32,0;37,1;37,0;35,3;39,0;40,9;36,6;36,0;37,3;36,1;34,9;31,3;31,0;28,3;21,6;15,8;22,2;27,2;29,5;31,0;26,1;37,6;27,2;28,8;28,8;30,4;40,4;36,0;37,6;36,4;43,9;49,4;41,2;38,8;39,0;36,9;35,0;36,3;33,9;36,7;39,6;41,3;36,2;39,4;37,6;40,0;48,3;52,3;50,0;44,0;55,7;64,7;68,8;64,0;58,3;62,1;64,0;68,0;59,7;52,5;51,3;46,8;36,0;45,8;49,0;45,9;48,9;53,4;46,8;33,4;25,8;20,5;11,1;18,0;17,1;14,8;26,4;26,3;23,3;20,3;19,0;..;51,3;32,8;33,7;47,9;42,6;61,3;66,6;66,6;34,7;67,5
Större hushåll;44,6;38,6;36,9;36,7;42,5;46,1;43,7;40,0;36,5;36,6;36,6;31,1;31,5;36,7;36,6;34,9;38,5;40,5;36,2;35,6;36,9;35,6;34,5;30,9;30,6;27,9;21,2;15,4;21,8;26,8;29,1;30,6;25,7;37,3;26,9;28,4;28,4;30,0;40,1;35,6;37,2;36,0;43,5;49,1;40,8;38,4;38,7;36,6;34,7;35,9;33,5;36,3;39,2;40,9;35,8;39,0;37,2;39,6;47,9;51,9;49,6;43,7;55,3;64,3;68,4;63,6;57,9;61,7;63,5;67,6;59,3;52,0;50,9;46,4;35,6;45,3;48,5;45,5;48,5;53,0;46,4;33,0;25,4;20,1;10,6;17,5;16,5;14,3;25,9;25,8;22,8;19,8;18,5;..;50,6;32,8;33,6;47,7;42,5;60,9;66,2;66,2;34,2;67,2
